ciarovy_kod,vzdialenost,priemer
4829742629,-12.17,403.4101
,-11.17,403.4452
,-10.17,403.6974
,-9.17,403.8875
,-8.17,404.0634
,-7.17,404.0366
,-6.17,404.0195
,-5.17,404.0063
,-4.17,403.9976
,-3.17,403.9925
,-2.17,403.9878
,-1.17,403.9838
,-0.17,403.9841
,0.83,403.9862
,1.83,403.9929
,2.83,403.9985
,3.83,404.0088
,4.83,404.0134
,5.83,404.0194
,6.83,404.0272
,7.83,404.0415
,8.83,404.0906
,9.83,404.1524
,10.83,404.2251
,11.83,404.2862
,12.83,404.3549
,13.83,404.3332
,14.83,404.2672
,15.83,404.2133
,16.83,404.2436
,17.83,404.3161
,18.83,404.3472
,19.83,404.3180
,20.83,404.2280
,21.83,404.2058
,22.83,404.2346
,23.83,404.3280
,24.83,404.3463
,25.83,404.2947
,26.83,404.2220
,27.83,404.2262
,28.83,404.2835
,29.83,404.3456
,30.83,404.3443
,31.83,404.2819
,32.83,404.2571
,33.83,404.3046
,34.83,404.4262
,35.83,404.4619
,36.83,404.4092
,37.83,404.3227
,38.83,404.3266
,39.83,404.3743
,40.83,404.4906
,41.83,404.5069
,42.83,404.4542
,43.83,404.3832
,44.83,404.3845
,45.83,404.4428
,46.83,404.4977
,47.83,404.4883
,48.83,404.4021
,49.83,404.3696
,50.83,404.4113
,51.83,404.5095
,52.83,404.5258
,53.83,404.4767
,54.83,404.4118
,55.83,404.4144
,56.83,404.4609
,57.83,404.5171
,58.83,404.4991
,59.83,404.4528
,60.83,404.4397
,61.83,404.4521
,62.83,404.5050
,63.83,404.5248
,64.83,404.4836
,65.83,404.4007
,66.83,404.3813
,67.83,404.4078
,68.83,404.4787
,69.83,404.4706
,70.83,404.4005
,71.83,404.3288
,72.83,404.3416
,73.83,404.4049
,74.83,404.4471
,75.83,404.4102
,76.83,404.3153
,77.83,404.2782
,78.83,404.3001
,79.83,404.3737
,80.83,404.3830
,81.83,404.3242
,82.83,404.2483
,83.83,404.2444
,84.83,404.2779
,85.83,404.3602
,86.83,404.3571
,87.83,404.2810
,88.83,404.2169
,89.83,404.2385
,90.83,404.3063
,91.83,404.3754
,92.83,404.3491
,93.83,404.2541
,94.83,404.1942
,95.83,404.2366
,96.83,404.3188
,97.83,404.3295
,98.83,404.2701
,99.83,404.2050
,100.83,404.2161
,101.83,404.2784
,102.83,404.3326
,103.83,404.3205
,104.83,404.2453
,105.83,404.2222
,106.83,404.2649
,107.83,404.3404
,108.83,404.3885
,109.83,404.3536
,110.83,404.2777
,111.83,404.2707
,112.83,404.3189
,113.83,404.3987
,114.83,404.4177
,115.83,404.3812
,116.83,404.3425
,117.83,404.3611
,118.83,404.4262
,119.83,404.4798
,120.83,404.4590
,121.83,404.3775
,122.83,404.3539
,123.83,404.3960
,124.83,404.4700
,125.83,404.4661
,126.83,404.4134
,127.83,404.3677
,128.83,404.3919
,129.83,404.4624
,130.83,404.5432
,131.83,404.5528
,132.83,404.4907
,133.83,404.4293
,134.83,404.4351
,135.83,404.5049
,136.83,404.5542
,137.83,404.5419
,138.83,404.4565
,139.83,404.4233
,140.83,404.4497
,141.83,404.5169
,142.83,404.5138
,143.83,404.4472
,144.83,404.3710
,145.83,404.3696
,146.83,404.4329
,147.83,404.4893
,148.83,404.4645
,149.83,404.3727
,150.83,404.3418
,151.83,404.3737
,152.83,404.4478
,153.83,404.4512
,154.83,404.4113
,155.83,404.3264
,156.83,404.3084
,157.83,404.3394
,158.83,404.4106
,159.83,404.3972
,160.83,404.3271
,161.83,404.2687
,162.83,404.2913
,163.83,404.3602
,164.83,404.3906
,165.83,404.3503
,166.83,404.2585
,167.83,404.2361
,168.83,404.2794
,169.83,404.3492
,170.83,404.3445
,171.83,404.2793
,172.83,404.2169
,173.83,404.2310
,174.83,404.2986
,175.83,404.3690
,176.83,404.3481
,177.83,404.2807
,178.83,404.2403
,179.83,404.2726
,180.83,404.3596
,181.83,404.4048
,182.83,404.3759
,183.83,404.2894
,184.83,404.2791
,185.83,404.3319
,186.83,404.4246
,187.83,404.4383
,188.83,404.3819
,189.83,404.3284
,190.83,404.3465
,191.83,404.4313
,192.83,404.5032
,193.83,404.4923
,194.83,404.4070
,195.83,404.3810
,196.83,404.4192
,197.83,404.5139
,198.83,404.5339
,199.83,404.4883
,200.83,404.4399
,201.83,404.4402
,202.83,404.4910
,203.83,404.5614
,204.83,404.5724
,205.83,404.4952
,206.83,404.4475
,207.83,404.4620
,208.83,404.5413
,209.83,404.5872
,210.83,404.5690
,211.83,404.4949
,212.83,404.4634
,213.83,404.4949
,214.83,404.5728
,215.83,404.5776
,216.83,404.5124
,217.83,404.4525
,218.83,404.4543
,219.83,404.5035
,220.83,404.5456
,221.83,404.5153
,222.83,404.4191
,223.83,404.3865
,224.83,404.4008
,225.83,404.4823
,226.83,404.5099
,227.83,404.4639
,228.83,404.3697
,229.83,404.3441
,230.83,404.3777
,231.83,404.4550
,232.83,404.4554
,233.83,404.3771
,234.83,404.3050
,235.83,404.3154
,236.83,404.3922
,237.83,404.4474
,238.83,404.3676
,239.83,404.3052
,240.83,404.2716
,241.83,404.3055
,242.83,404.3735
,243.83,404.3662
,244.83,404.3117
,245.83,404.2564
,246.83,404.2623
,247.83,404.3003
,248.83,404.3689
,249.83,404.3646
,250.83,404.2974
,251.83,404.2552
,252.83,404.2766
,253.83,404.3599
,254.83,404.3998
,255.83,404.3703
,256.83,404.2919
,257.83,404.2898
,258.83,404.3323
,259.83,404.4192
,260.83,404.4246
,261.83,404.3721
,262.83,404.3113
,263.83,404.3339
,264.83,404.4105
,265.83,404.4571
,266.83,404.4324
,267.83,404.3665
,268.83,404.3641
,269.83,404.4065
,270.83,404.4837
,271.83,404.5200
,272.83,404.4971
,273.83,404.4315
,274.83,404.4328
,275.83,404.4705
,276.83,404.5471
,277.83,404.5504
,278.83,404.4749
,279.83,404.4354
,280.83,404.4726
,281.83,404.5589
,282.83,404.6001
,283.83,404.5645
,284.83,404.4953
,285.83,404.4888
,286.83,404.5246
,287.83,404.5914
,288.83,404.5859
,289.83,404.5181
,290.83,404.4610
,291.83,404.4699
,292.83,404.5327
,293.83,404.5852
,294.83,404.5679
,295.83,404.4813
,296.83,404.4299
,297.83,404.4476
,298.83,404.5212
,299.83,404.5355
,300.83,404.4804
,301.83,404.3902
,302.83,404.3739
,303.83,404.4064
,304.83,404.4704
,305.83,404.4607
,306.83,404.3927
,307.83,404.3372
,308.83,404.3490
,309.83,404.4117
,310.83,404.4472
,311.83,404.4148
,312.83,404.3337
,313.83,404.3061
,314.83,404.3293
,315.83,404.4003
,316.83,404.4014
,317.83,404.3668
,318.83,404.2892
,319.83,404.2796
,320.83,404.3177
,321.83,404.3848
,322.83,404.3773
